scheme,fold,half_width_um,position,w2v2_frozen,position+w2v2_frozen,chance
loso_allen,719161530_probeA,0.0,0.39215686274509803,0.8255299801079853,0.8721277351520319,0.3333333333333333
loso_allen,719161530_probeA,100.0,0.38431372549019605,0.8255299801079853,0.8705636544472861,0.3333333333333333
loso_allen,719161530_probeA,200.0,0.4235294117647059,0.8255299801079853,0.8664569479965898,0.3333333333333333
loso_allen,719161530_probeA,400.0,0.47254901960784307,0.8255299801079853,0.8640704745666383,0.3333333333333333
loso_allen,719161530_probeA,800.0,0.484313725490196,0.8255299801079853,0.8512658425689116,0.3333333333333333
loso_allen,719161530_probeA,1600.0,0.4551292980960501,0.8255299801079853,0.8405334612105712,0.3333333333333333
loso_allen,719161530_probeB,0.0,0.3703703703703704,0.8146055796055797,0.768963443963444,0.3333333333333333
loso_allen,719161530_probeB,100.0,0.3814814814814815,0.8146055796055797,0.7650666185666185,0.3333333333333333
loso_allen,719161530_probeB,200.0,0.3759259259259259,0.8146055796055797,0.7577092352092352,0.3333333333333333
loso_allen,719161530_probeB,400.0,0.46957671957671965,0.8146055796055797,0.8010579605579606,0.3333333333333333
loso_allen,719161530_probeB,800.0,0.5159451659451658,0.8146055796055797,0.7861767676767676,0.3333333333333333
loso_allen,719161530_probeB,1600.0,0.5390331890331891,0.8146055796055797,0.8207215007215007,0.3333333333333333
loso_allen,719161530_probeC,0.0,0.5,0.8772727272727273,0.8948051948051948,0.5
loso_allen,719161530_probeC,100.0,0.5357142857142858,0.8772727272727273,0.8945714285714287,0.5
loso_allen,719161530_probeC,200.0,0.5357142857142857,0.8772727272727273,0.8933636363636366,0.5
loso_allen,719161530_probeC,400.0,0.5785714285714285,0.8772727272727273,0.8816915584415584,0.5
loso_allen,719161530_probeC,800.0,0.7762987012987013,0.8772727272727273,0.9022987012987013,0.5
loso_allen,719161530_probeC,1600.0,0.6201298701298701,0.8772727272727273,0.8911948051948052,0.5
loso_allen,719161530_probeF,0.0,0.3333333333333333,0.767264705882353,0.7400588235294118,0.3333333333333333
