scheme,fold,source,n_test,balanced_accuracy,raw_accuracy,majority,chance,ece
loso_allen,719161530_probeA,position,5200,0.39215686274509803,0.5,0.4423076923076923,0.3333333333333333,0.25252396681560924
loso_allen,719161530_probeA,bandpower_full,5200,0.6474211423699915,0.6434615384615384,0.4423076923076923,0.3333333333333333,0.060009706485224065
loso_allen,719161530_probeA,w2v2_frozen,5200,0.8255299801079853,0.816923076923077,0.4423076923076923,0.3333333333333333,0.04970485734566753
loso_allen,719161530_probeA,position+bandpower_full,5200,0.7450902244955954,0.7703846153846153,0.4423076923076923,0.3333333333333333,0.051619594924886485
loso_allen,719161530_probeA,position+w2v2_frozen,5200,0.8721277351520319,0.8725,0.4423076923076923,0.3333333333333333,0.03219147770096008
loso_allen,719161530_probeB,position,5400,0.3703703703703704,0.4444444444444444,0.4074074074074074,0.3333333333333333,0.3677285682373934
loso_allen,719161530_probeB,bandpower_full,5400,0.7397138047138047,0.7442592592592593,0.4074074074074074,0.3333333333333333,0.14059637348548631
loso_allen,719161530_probeB,w2v2_frozen,5400,0.8187205387205387,0.83,0.4074074074074074,0.3333333333333333,0.04009843301446177
loso_allen,719161530_probeB,position+bandpower_full,5400,0.6303439153439153,0.6746296296296296,0.4074074074074074,0.3333333333333333,0.1449558625185824
loso_allen,719161530_probeB,position+w2v2_frozen,5400,0.7722703222703222,0.7914814814814815,0.4074074074074074,0.3333333333333333,0.11638006959759262
loso_allen,719161530_probeC,position,2900,0.5,0.7586206896551724,0.7586206896551724,0.5,0.16634272805893274
loso_allen,719161530_probeC,bandpower_full,2900,0.6725324675324675,0.823103448275862,0.7586206896551724,0.5,0.12986496841711395
loso_allen,719161530_probeC,w2v2_frozen,2900,0.8716883116883116,0.916896551724138,0.7586206896551724,0.5,0.008084271913091925
loso_allen,719161530_probeC,position+bandpower_full,2900,0.6821428571428572,0.846551724137931,0.7586206896551724,0.5,0.049596538085430006
loso_allen,719161530_probeC,position+w2v2_frozen,2900,0.8950649350649351,0.9479310344827586,0.7586206896551724,0.5,0.008542076084037294
loso_allen,719161530_probeF,position,4100,0.3333333333333333,0.0975609756097561,0.4878048780487805,0.3333333333333333,0.5070858171532092
loso_allen,719161530_probeF,bandpower_full,4100,0.7609607843137255,0.7004878048780487,0.4878048780487805,0.3333333333333333,0.0536673755957881
loso_allen,719161530_probeF,w2v2_frozen,4100,0.768656862745098,0.81,0.4878048780487805,0.3333333333333333,0.08007073540675766
loso_allen,719161530_probeF,position+bandpower_full,4100,0.4986176470588235,0.3297560975609756,0.4878048780487805,0.3333333333333333,0.3535486650724975
loso_allen,719161530_probeF,position+w2v2_frozen,4100,0.7334509803921568,0.725609756097561,0.4878048780487805,0.3333333333333333,0.13212284841545824
loso_allen,798911424_probeA,position,5300,0.8114035087719298,0.7735849056603774,0.4528301886792453,0.3333333333333333,0.22704405142643824
loso_allen,798911424_probeA,bandpower_full,5300,0.6265219298245613,0.6324528301886793,0.4528301886792453,0.3333333333333333,0.04944288719185847
loso_allen,798911424_probeA,w2v2_frozen,5300,0.6982748538011695,0.7256603773584905,0.4528301886792453,0.3333333333333333,0.09308622130246963
loso_allen,798911424_probeA,position+bandpower_full,5300,0.773501461988304,0.7481132075471698,0.4528301886792453,0.3333333333333333,0.05700366562492699
loso_allen,798911424_probeA,position+w2v2_frozen,5300,0.7330394736842104,0.7530188679245283,0.4528301886792453,0.3333333333333333,0.0914628058864967
loso_allen,798911424_probeB,position,5700,0.8431372549019608,0.8596491228070176,0.38596491228070173,0.3333333333333333,0.34367044130376984
loso_allen,798911424_probeB,bandpower_full,5700,0.5586541889483067,0.5543859649122806,0.38596491228070173,0.3333333333333333,0.06609952822780539
loso_allen,798911424_probeB,w2v2_frozen,5700,0.7379996038819568,0.7385964912280701,0.38596491228070173,0.3333333333333333,0.0672783040163056
loso_allen,798911424_probeB,position+bandpower_full,5700,0.6934472172707467,0.6928070175438596,0.38596491228070173,0.3333333333333333,0.0794364787240251
loso_allen,798911424_probeB,position+w2v2_frozen,5700,0.7914874232521291,0.7940350877192982,0.38596491228070173,0.3333333333333333,0.048158531286091225
loso_allen,798911424_probeC,position,3800,0.717391304347826,0.6578947368421053,0.6052631578947368,0.5,0.20746197628183982
loso_allen,798911424_probeC,bandpower_full,3800,0.6536376811594202,0.6786842105263158,0.6052631578947368,0.5,0.08753474932340335
loso_allen,798911424_probeC,w2v2_frozen,3800,0.6701159420289855,0.6489473684210526,0.6052631578947368,0.5,0.1542048568403424
loso_allen,798911424_probeC,position+bandpower_full,3800,0.6566811594202899,0.6865789473684211,0.6052631578947368,0.5,0.0953233816798617
loso_allen,798911424_probeC,position+w2v2_frozen,3800,0.6398985507246377,0.6207894736842106,0.6052631578947368,0.5,0.19275397057703314
loso_allen,798911424_probeD,position,5500,0.1217948717948718,0.16363636363636364,0.4727272727272727,0.3333333333333333,0.35024846906152746
