run,score,aurc,risk_full,risk_half,risk_fifth,in_vs_out_auc
cross_lab_ibl_to_allen__all_target_groups__seed0__lp100,max_softmax,0.41146162471882347,0.5064541832669323,0.4352589641434263,0.36792828685258966,0.5772966334661354
cross_lab_ibl_to_allen__all_target_groups__seed0__lp100,entropy,0.4062146503418531,0.5064541832669323,0.43262948207171315,0.35946215139442234,0.5850610358565738
cross_lab_ibl_to_allen__all_target_groups__seed0__lp100,mahalanobis,0.3888219496422751,0.5064541832669323,0.4102390438247012,0.3054780876494024,0.7266164193227092
