run,score,aurc,risk_full,risk_half,risk_fifth,in_vs_out_auc
cross_lab_allen_to_ibl__all_target_groups__seed0__lp100,max_softmax,0.6003933295717692,0.5145098039215686,0.5590950226244343,0.6504147812971343,0.41486493778280553
cross_lab_allen_to_ibl__all_target_groups__seed0__lp100,entropy,0.5806625338266661,0.5145098039215686,0.5421417797888386,0.6331447963800905,0.4035095475113122
cross_lab_allen_to_ibl__all_target_groups__seed0__lp100,mahalanobis,0.41759854585255324,0.5145098039215686,0.385052790346908,0.3603318250377074,0.4631322115384615
