scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
cross_lab_allen_to_ibl,0802ced5_probe00,4class,0,0.0,False,21500,0.25,0.3593217668245181,0.29694791222493133,0.28837128083254104,1.4260937617843816,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe00,5class,0,0.0,False,21500,0.25,0.3593217668245181,0.29694791222493133,0.28837128083254104,1.4260937617843816,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe01,4class,0,0.0,False,18300,0.3333333333333333,0.4310140096618358,0.34414989931246603,0.38266007073110353,1.3392446922811831,CA1|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe01,5class,0,0.0,False,18300,0.3333333333333333,0.4310140096618358,0.34414989931246603,0.38266007073110353,1.3392446922811831,CA1|DG|VIS
cross_lab_allen_to_ibl,0a018f12_probe00,4class,0,0.0,False,18000,0.3333333333333333,0.5527600266964674,0.46689350229687726,0.260289836716053,1.1639620197249738,CA1|DG|VIS
cross_lab_allen_to_ibl,0a018f12_probe00,5class,0,0.0,False,18000,0.3333333333333333,0.5527600266964674,0.46689350229687726,0.260289836716053,1.1639620197249738,CA1|DG|VIS
cross_lab_allen_to_ibl,3638d102_probe01,4class,0,0.0,False,18700,0.3333333333333333,0.4367010752688172,0.3325958943993076,0.3918311084238702,1.530145242586011,CA1|DG|VIS
cross_lab_allen_to_ibl,3638d102_probe01,5class,0,0.0,False,18700,0.3333333333333333,0.4367010752688172,0.3325958943993076,0.3918311084238702,1.530145242586011,CA1|DG|VIS
cross_lab_allen_to_ibl,54238fd6_probe00,4class,0,0.0,False,17700,0.25,0.3888709597755651,0.36525081072279636,0.2964842156609754,1.264651419629331,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,54238fd6_probe00,5class,0,0.0,False,17700,0.25,0.3888709597755651,0.36525081072279636,0.2964842156609754,1.264651419629331,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,5dcee0eb_probe00,4class,0,0.0,False,20100,0.3333333333333333,0.48583910295341565,0.3885096475872171,0.32347051203967436,1.3785095777634662,CA1|DG|VIS
cross_lab_allen_to_ibl,5dcee0eb_probe00,5class,0,0.0,False,20100,0.3333333333333333,0.48583910295341565,0.3885096475872171,0.32347051203967436,1.3785095777634662,CA1|DG|VIS
cross_lab_allen_to_ibl,d2832a38_probe00,4class,0,0.0,False,18300,0.25,0.3381238718792173,0.271640867744034,0.3964562916258794,1.6178781894989072,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,d2832a38_probe00,5class,0,0.0,False,18300,0.25,0.3381238718792173,0.271640867744034,0.3964562916258794,1.6178781894989072,CA1|CA3|DG|VIS
