dataset,freq_hz,psd
ibl,0.0,0.02042136536032708
ibl,1.0000095679,0.10193964790115032
ibl,2.0000191358,0.09549127631213715
ibl,3.0000287037,0.07310441241778025
ibl,4.0000382716,0.06064058997921278
ibl,5.0000478395000005,0.06285751385743825
ibl,6.0000574074,0.08207245765824649
ibl,7.0000669753,0.09089151321171228
ibl,8.0000765432,0.06505651941981276
ibl,9.0000861111,0.03661793586345615
ibl,10.000095679000001,0.0239457288621916
ibl,11.0001052469,0.018325631232156678
ibl,12.0001148148,0.014911124143292695
ibl,13.000124382700001,0.012893018909988029
ibl,14.0001339506,0.011258485252560544
ibl,15.000143518500002,0.01002029989165018
ibl,16.0001530864,0.009092827800501404
ibl,17.000162654300002,0.008211146813568887
ibl,18.0001722222,0.0077538651306883165
ibl,19.0001817901,0.007283590260825209
ibl,20.000191358000002,0.007039564283138827
ibl,21.0002009259,0.006629550759239553
ibl,22.0002104938,0.006250485896201669
ibl,23.000220061700002,0.006196652989314702
ibl,24.0002296296,0.005946854656574955
ibl,25.0002391975,0.00553161365310395
ibl,26.000248765400002,0.005174165677728056
ibl,27.000258333300003,0.005188965995303806
ibl,28.0002679012,0.004810501968935191
ibl,29.000277469100002,0.0043708289577580155
ibl,30.000287037000003,0.004147134941245893
ibl,31.0002966049,0.003921697963728697
ibl,32.0003061728,0.0037209765648004976
ibl,33.0003157407,0.0035637716820915684
ibl,34.000325308600004,0.0033573380934869773
ibl,35.000334876500006,0.0032009401591544862
ibl,36.0003444444,0.003153312365757254
ibl,37.0003540123,0.0031480988854001098
ibl,38.0003635802,0.0030147230326305445
ibl,39.0003731481,0.002815503664695609
ibl,40.000382716000004,0.002683837801150151
ibl,41.000392283900005,0.0026577585530882224
ibl,42.0004018518,0.0026407271476578233
ibl,43.0004114197,0.002568427664620516
ibl,44.0004209876,0.0025264091949759432
ibl,45.0004305555,0.0024212095731182977
ibl,46.000440123400004,0.0023582279923307203
ibl,47.000449691300005,0.002270592215073337
ibl,48.0004592592,0.0022181501020996936
ibl,49.0004688271,0.0021734722560996533
ibl,50.000478395,0.0021473149730091455
ibl,51.0004879629,0.00204518947820388
ibl,52.000497530800004,0.0019064583317832285
ibl,53.000507098700005,0.0018416244365970441
ibl,54.00051666660001,0.0018300516092773589
ibl,55.0005262345,0.0017680907293592452
ibl,56.0005358024,0.001714525630648653
ibl,57.0005453703,0.001656209798630482
ibl,58.000554938200004,0.0015394220040981746
ibl,59.000564506100005,0.0014311951243606554
ibl,60.000574074000006,0.0013901638425687925
ibl,61.0005836419,0.0013185394581895756
ibl,62.0005932098,0.0012458287920654677
ibl,63.0006027777,0.001187968954072931
ibl,64.0006123456,0.0011557344537755589
ibl,65.0006219135,0.00110981154841719
ibl,66.0006314814,0.0010290372782454295
ibl,67.0006410493,0.0009679495285229655
ibl,68.00065061720001,0.0009356390301145834
ibl,69.0006601851,0.0009064423637518333
ibl,70.00066975300001,0.0008460576525085867
ibl,71.0006793209,0.0007933662855954988
ibl,72.0006888888,0.0007621082189494904
ibl,73.00069845670001,0.0007364483654310967
ibl,74.0007080246,0.00071522569208088
ibl,75.00071759250001,0.0006849738785062017
ibl,76.0007271604,0.0006693150593241044
ibl,77.0007367283,0.0006670393791985908
ibl,78.0007462962,0.0006128833627464061
ibl,79.0007558641,0.0005685461305099665
ibl,80.00076543200001,0.0005530443141311685
ibl,81.0007749999,0.0005325917580491172
ibl,82.00078456780001,0.0005090331028355247
ibl,83.0007941357,0.0004917305719929263
ibl,84.0008037036,0.0004775303055485768
ibl,85.00081327150001,0.00045940597456712597
ibl,86.0008228394,0.00043931706839626917
ibl,87.00083240730001,0.00043025692150606005
ibl,88.0008419752,0.0004093458614026612
ibl,89.00085154310001,0.0003930551258840759
ibl,90.000861111,0.0003867920151645474
ibl,91.0008706789,0.00037863193667098913
ibl,92.00088024680001,0.00036501352615032884
ibl,93.0008898147,0.0003559141672849362
ibl,94.00089938260001,0.0003358433807159661
ibl,95.0009089505,0.00033038376584360084
ibl,96.0009185184,0.0003197484011844435
ibl,97.00092808630001,0.00030867669981047126
ibl,98.0009376542,0.0002937402333307005
ibl,99.00094722210001,0.0002874087288181377
ibl,100.00095679,0.0002790885991674246
ibl,101.00096635790001,0.0002673784832077096
ibl,102.0009759258,0.00025996631855435465
ibl,103.0009854937,0.0002516754032727296
ibl,104.00099506160001,0.0002450502479250683
ibl,105.0010046295,0.00023388948743955368
ibl,106.00101419740001,0.00022591430174566138
ibl,107.0010237653,0.00022471996026794246
ibl,108.00103333320001,0.00021760944381867068
ibl,109.0010429011,0.00020668428346918042
ibl,110.001052469,0.00020185497075514083
ibl,111.00106203690001,0.00019817664785019018
ibl,112.0010716048,0.0001938659310521101
ibl,113.00108117270001,0.0001881032871873712
ibl,114.0010907406,0.00018214645798509047
ibl,115.00110030850001,0.00017362292102644447
ibl,116.00110987640001,0.0001672977902329187
ibl,117.0011194443,0.0001614294150422842
ibl,118.00112901220001,0.0001575372305561569
ibl,119.0011385801,0.0001513545876731885
ibl,120.00114814800001,0.0001483755689651319
ibl,121.0011577159,0.0001488994064543478
ibl,122.0011672838,0.00014019052259639983
ibl,123.00117685170001,0.00013275570040354273
ibl,124.0011864196,0.0001294769524296334
ibl,125.00119598750001,0.0001268632650400256
ibl,126.0012055554,0.0001234725362933455
ibl,127.00121512330001,0.0001217068436851669
ibl,128.0012246912,0.00011662011661660841
ibl,129.00123425910002,0.0001120637508535795
ibl,130.001243827,0.00011078042670794404
ibl,131.0012533949,0.00010624346756185397
ibl,132.0012629628,0.00010171831955025087
ibl,133.00127253070002,9.844376652773174e-05
ibl,134.0012820986,9.638367519622592e-05
ibl,135.0012916665,9.575964269735736e-05
ibl,136.00130123440002,9.160966207047945e-05
ibl,137.0013108023,8.716511945732872e-05
ibl,138.0013203702,8.674275514583763e-05
ibl,139.0013299381,8.552728973592192e-05
ibl,140.00133950600002,8.185356985844269e-05
ibl,141.0013490739,7.95419365960501e-05
ibl,142.0013586418,7.657216472017821e-05
ibl,143.00136820970002,7.498863931028494e-05
ibl,144.0013777776,7.36368262854304e-05
ibl,145.0013873455,7.243823353668134e-05
ibl,146.00139691340001,6.945526068846094e-05
ibl,147.00140648130002,6.706482494609946e-05
ibl,148.0014160492,6.618357060339673e-05
ibl,149.0014256171,6.443717089250243e-05
ibl,150.00143518500002,6.248751024602391e-05
ibl,151.0014447529,6.126933322030898e-05
ibl,152.0014543208,6.027634383092191e-05
ibl,153.00146388870002,5.8638059803620765e-05
ibl,154.0014734566,5.6688100836458924e-05
ibl,155.0014830245,5.574608505484512e-05
ibl,156.0014925924,5.33168354103001e-05
ibl,157.00150216030002,5.2323394899804196e-05
ibl,158.0015117282,5.192637885332341e-05
ibl,159.0015212961,5.025378106830255e-05
ibl,160.00153086400002,4.9661655060964284e-05
ibl,161.0015404319,4.817221952644121e-05
ibl,162.0015499998,4.6408274249274786e-05
ibl,163.0015595677,4.6139048145323116e-05
ibl,164.00156913560002,4.523940756032947e-05
ibl,165.0015787035,4.3409704493222206e-05
ibl,166.0015882714,4.222041878152995e-05
ibl,167.00159783930002,4.169270196883182e-05
ibl,168.0016074072,4.131826171434082e-05
ibl,169.0016169751,4.049998440652073e-05
ibl,170.00162654300001,3.907164700303155e-05
ibl,171.00163611090002,3.88489251870321e-05
ibl,172.0016456788,3.8622303707462585e-05
ibl,173.0016552467,3.8147065089616584e-05
ibl,174.00166481460002,3.652484242781388e-05
ibl,175.0016743825,3.5323669183212966e-05
ibl,176.0016839504,3.459198471937629e-05
ibl,177.00169351830002,3.4394028900233555e-05
ibl,178.00170308620002,3.360665216157524e-05
ibl,179.0017126541,3.274203123692412e-05
ibl,180.001722222,3.2874689125670804e-05
ibl,181.00173178990002,3.1748901458747e-05
ibl,182.0017413578,3.1042761088671157e-05
ibl,183.0017509257,3.045308461485452e-05
ibl,184.00176049360002,2.9989023639121714e-05
ibl,185.00177006150003,2.920722121686492e-05
ibl,186.0017796294,2.875522658276584e-05
ibl,187.0017891973,2.8239816503796417e-05
ibl,188.00179876520002,2.769218464831702e-05
ibl,189.0018083331,2.743683519165172e-05
ibl,190.001817901,2.6890013325829933e-05
ibl,191.00182746890002,2.6506485500955214e-05
ibl,192.0018370368,2.5794288115696286e-05
ibl,193.0018466047,2.5700483322014712e-05
ibl,194.00185617260001,2.479869478391007e-05
ibl,195.00186574050002,2.424847140050348e-05
ibl,196.0018753084,2.3988418188670438e-05
ibl,197.0018848763,2.385045106073279e-05
ibl,198.00189444420002,2.2792445639171525e-05
ibl,199.0019040121,2.26031284925582e-05
ibl,200.00191358,2.2645598703641274e-05
ibl,201.00192314790002,2.2322784882114557e-05
ibl,202.00193271580002,2.1891051525386884e-05
