scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
loso_ibl,5dcee0eb_probe00,4class,0,0.0,False,20100,0.3333333333333333,0.8338929077535596,0.8509500270905163,0.08264483088041144,0.4879961425164318,CA1|DG|VIS
loso_ibl,5dcee0eb_probe00,5class,0,0.0,False,20100,0.3333333333333333,0.8338929077535596,0.8509500270905163,0.08264483088041144,0.4879961425164318,CA1|DG|VIS
