scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
loso_ibl,54238fd6_probe00,4class,0,0.0,False,17700,0.25,0.7162665461514146,0.73530360435546,0.1327841464549931,0.7111303773458704,CA1|CA3|DG|VIS
loso_ibl,54238fd6_probe00,5class,0,0.0,False,17700,0.25,0.7162665461514146,0.73530360435546,0.1327841464549931,0.7111303773458704,CA1|CA3|DG|VIS
