scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
loso_ibl,0802ced5_probe00,4class,0,0.0,False,21500,0.25,0.6312275228439939,0.5863326802093376,0.18691057611274753,1.0515551664429041,CA1|CA3|DG|VIS
loso_ibl,0802ced5_probe00,5class,0,0.0,False,21500,0.25,0.6312275228439939,0.5863326802093376,0.18691057611274753,1.0515551664429041,CA1|CA3|DG|VIS
