run,stage,level,raw_accuracy,balanced_accuracy,chance,majority,n
cross_lab_allen_to_ibl__all_target_groups__seed1,raw,chunk,0.36114630467571646,0.30995016925527674,0.25,0.3695324283559578,132600
cross_lab_allen_to_ibl__all_target_groups__seed1,temporal,chunk,0.3695324283559578,0.3164874551971326,0.25,0.3695324283559578,132600
cross_lab_allen_to_ibl__all_target_groups__seed1,temporal,channel,0.3695324283559578,0.3164874551971326,0.25,0.3695324283559578,1326
cross_lab_allen_to_ibl__all_target_groups__seed1,spatial,chunk,0.3702865761689291,0.31710473914774995,0.25,0.3695324283559578,132600
cross_lab_allen_to_ibl__all_target_groups__seed1,spatial,channel,0.3702865761689291,0.31710473914774995,0.25,0.3695324283559578,1326
