key,group,channel,depth_um,temporal,spatial,label
54238fd6_probe00::190,54238fd6_probe00,190,1920.0,2,2,2
54238fd6_probe00::192,54238fd6_probe00,192,1940.0,2,2,2
54238fd6_probe00::193,54238fd6_probe00,193,1940.0,2,2,2
54238fd6_probe00::194,54238fd6_probe00,194,1960.0,2,2,2
54238fd6_probe00::195,54238fd6_probe00,195,1960.0,2,2,2
54238fd6_probe00::196,54238fd6_probe00,196,1980.0,3,3,2
54238fd6_probe00::197,54238fd6_probe00,197,1980.0,3,3,2
54238fd6_probe00::198,54238fd6_probe00,198,2000.0,3,3,2
54238fd6_probe00::199,54238fd6_probe00,199,2000.0,3,3,2
54238fd6_probe00::200,54238fd6_probe00,200,2020.0,3,3,2
54238fd6_probe00::201,54238fd6_probe00,201,2020.0,3,3,2
54238fd6_probe00::202,54238fd6_probe00,202,2040.0,3,3,2
54238fd6_probe00::203,54238fd6_probe00,203,2040.0,3,3,2
54238fd6_probe00::204,54238fd6_probe00,204,2060.0,3,3,2
54238fd6_probe00::205,54238fd6_probe00,205,2060.0,3,3,2
54238fd6_probe00::206,54238fd6_probe00,206,2080.0,3,3,2
54238fd6_probe00::207,54238fd6_probe00,207,2080.0,3,3,2
54238fd6_probe00::208,54238fd6_probe00,208,2100.0,3,3,2
54238fd6_probe00::209,54238fd6_probe00,209,2100.0,3,3,2
54238fd6_probe00::210,54238fd6_probe00,210,2120.0,3,3,3
54238fd6_probe00::211,54238fd6_probe00,211,2120.0,3,3,3
54238fd6_probe00::212,54238fd6_probe00,212,2140.0,3,3,3
54238fd6_probe00::213,54238fd6_probe00,213,2140.0,3,3,3
54238fd6_probe00::214,54238fd6_probe00,214,2160.0,3,3,3
54238fd6_probe00::215,54238fd6_probe00,215,2160.0,3,3,3
54238fd6_probe00::216,54238fd6_probe00,216,2180.0,3,3,3
54238fd6_probe00::217,54238fd6_probe00,217,2180.0,3,3,3
54238fd6_probe00::218,54238fd6_probe00,218,2200.0,3,3,3
54238fd6_probe00::219,54238fd6_probe00,219,2200.0,3,3,3
54238fd6_probe00::220,54238fd6_probe00,220,2220.0,3,3,3
54238fd6_probe00::221,54238fd6_probe00,221,2220.0,3,3,3
54238fd6_probe00::222,54238fd6_probe00,222,2240.0,3,3,3
54238fd6_probe00::223,54238fd6_probe00,223,2240.0,3,3,3
54238fd6_probe00::224,54238fd6_probe00,224,2260.0,3,3,3
54238fd6_probe00::225,54238fd6_probe00,225,2260.0,3,3,3
54238fd6_probe00::226,54238fd6_probe00,226,2280.0,3,3,3
54238fd6_probe00::227,54238fd6_probe00,227,2280.0,3,3,3
54238fd6_probe00::228,54238fd6_probe00,228,2300.0,3,3,3
54238fd6_probe00::229,54238fd6_probe00,229,2300.0,3,3,3
54238fd6_probe00::230,54238fd6_probe00,230,2320.0,3,3,3
54238fd6_probe00::231,54238fd6_probe00,231,2320.0,3,3,3
54238fd6_probe00::232,54238fd6_probe00,232,2340.0,3,3,3
54238fd6_probe00::233,54238fd6_probe00,233,2340.0,3,3,3
54238fd6_probe00::234,54238fd6_probe00,234,2360.0,3,3,3
54238fd6_probe00::235,54238fd6_probe00,235,2360.0,3,3,3
54238fd6_probe00::236,54238fd6_probe00,236,2380.0,3,3,3
54238fd6_probe00::237,54238fd6_probe00,237,2380.0,3,3,3
54238fd6_probe00::238,54238fd6_probe00,238,2400.0,3,3,3
54238fd6_probe00::239,54238fd6_probe00,239,2400.0,3,3,3
54238fd6_probe00::240,54238fd6_probe00,240,2420.0,3,3,3
54238fd6_probe00::241,54238fd6_probe00,241,2420.0,3,3,3
54238fd6_probe00::242,54238fd6_probe00,242,2440.0,0,3,3
54238fd6_probe00::243,54238fd6_probe00,243,2440.0,3,0,3
54238fd6_probe00::244,54238fd6_probe00,244,2460.0,0,0,3
54238fd6_probe00::245,54238fd6_probe00,245,2460.0,0,0,3
54238fd6_probe00::246,54238fd6_probe00,246,2480.0,0,0,0
54238fd6_probe00::247,54238fd6_probe00,247,2480.0,0,0,0
54238fd6_probe00::248,54238fd6_probe00,248,2500.0,0,0,0
54238fd6_probe00::249,54238fd6_probe00,249,2500.0,0,0,0
54238fd6_probe00::250,54238fd6_probe00,250,2520.0,0,0,0
54238fd6_probe00::251,54238fd6_probe00,251,2520.0,0,0,0
54238fd6_probe00::252,54238fd6_probe00,252,2540.0,0,0,0
54238fd6_probe00::253,54238fd6_probe00,253,2540.0,0,0,0
54238fd6_probe00::254,54238fd6_probe00,254,2560.0,0,0,0
54238fd6_probe00::255,54238fd6_probe00,255,2560.0,0,0,0
54238fd6_probe00::256,54238fd6_probe00,256,2580.0,0,0,0
54238fd6_probe00::257,54238fd6_probe00,257,2580.0,0,0,0
54238fd6_probe00::258,54238fd6_probe00,258,2600.0,0,0,0
54238fd6_probe00::259,54238fd6_probe00,259,2600.0,0,0,0
54238fd6_probe00::260,54238fd6_probe00,260,2620.0,0,0,0
54238fd6_probe00::261,54238fd6_probe00,261,2620.0,0,0,0
54238fd6_probe00::262,54238fd6_probe00,262,2640.0,0,0,0
54238fd6_probe00::263,54238fd6_probe00,263,2640.0,0,0,0
54238fd6_probe00::264,54238fd6_probe00,264,2660.0,0,0,0
54238fd6_probe00::265,54238fd6_probe00,265,2660.0,0,0,0
54238fd6_probe00::266,54238fd6_probe00,266,2680.0,0,0,0
54238fd6_probe00::267,54238fd6_probe00,267,2680.0,0,0,0
54238fd6_probe00::268,54238fd6_probe00,268,2700.0,0,0,0
54238fd6_probe00::269,54238fd6_probe00,269,2700.0,0,0,0
54238fd6_probe00::270,54238fd6_probe00,270,2720.0,0,0,0
54238fd6_probe00::271,54238fd6_probe00,271,2720.0,0,0,0
54238fd6_probe00::272,54238fd6_probe00,272,2740.0,0,0,0
54238fd6_probe00::273,54238fd6_probe00,273,2740.0,0,0,0
54238fd6_probe00::274,54238fd6_probe00,274,2760.0,0,0,0
54238fd6_probe00::275,54238fd6_probe00,275,2760.0,0,0,0
54238fd6_probe00::276,54238fd6_probe00,276,2780.0,0,0,0
54238fd6_probe00::277,54238fd6_probe00,277,2780.0,0,0,0
54238fd6_probe00::278,54238fd6_probe00,278,2800.0,0,0,0
54238fd6_probe00::279,54238fd6_probe00,279,2800.0,0,0,0
54238fd6_probe00::280,54238fd6_probe00,280,2820.0,4,4,0
54238fd6_probe00::281,54238fd6_probe00,281,2820.0,4,4,0
54238fd6_probe00::282,54238fd6_probe00,282,2840.0,4,4,0
54238fd6_probe00::283,54238fd6_probe00,283,2840.0,4,4,0
54238fd6_probe00::284,54238fd6_probe00,284,2860.0,4,4,0
54238fd6_probe00::285,54238fd6_probe00,285,2860.0,4,4,0
54238fd6_probe00::286,54238fd6_probe00,286,2880.0,4,4,0
54238fd6_probe00::287,54238fd6_probe00,287,2880.0,4,4,0
54238fd6_probe00::288,54238fd6_probe00,288,2900.0,4,4,0
54238fd6_probe00::289,54238fd6_probe00,289,2900.0,4,4,0
54238fd6_probe00::290,54238fd6_probe00,290,2920.0,4,4,0
54238fd6_probe00::291,54238fd6_probe00,291,2920.0,4,4,0
54238fd6_probe00::292,54238fd6_probe00,292,2940.0,4,4,0
54238fd6_probe00::293,54238fd6_probe00,293,2940.0,4,4,0
54238fd6_probe00::310,54238fd6_probe00,310,3120.0,4,4,4
54238fd6_probe00::311,54238fd6_probe00,311,3120.0,4,4,4
54238fd6_probe00::312,54238fd6_probe00,312,3140.0,4,4,4
54238fd6_probe00::313,54238fd6_probe00,313,3140.0,4,4,4
54238fd6_probe00::314,54238fd6_probe00,314,3160.0,4,4,4
54238fd6_probe00::315,54238fd6_probe00,315,3160.0,4,4,4
54238fd6_probe00::316,54238fd6_probe00,316,3180.0,4,4,4
54238fd6_probe00::317,54238fd6_probe00,317,3180.0,4,4,4
54238fd6_probe00::318,54238fd6_probe00,318,3200.0,4,4,4
54238fd6_probe00::319,54238fd6_probe00,319,3200.0,4,4,4
54238fd6_probe00::320,54238fd6_probe00,320,3220.0,4,4,4
54238fd6_probe00::321,54238fd6_probe00,321,3220.0,4,4,4
54238fd6_probe00::322,54238fd6_probe00,322,3240.0,4,4,4
54238fd6_probe00::323,54238fd6_probe00,323,3240.0,4,4,4
54238fd6_probe00::324,54238fd6_probe00,324,3260.0,4,4,4
54238fd6_probe00::325,54238fd6_probe00,325,3260.0,4,4,4
54238fd6_probe00::326,54238fd6_probe00,326,3280.0,4,4,4
54238fd6_probe00::327,54238fd6_probe00,327,3280.0,4,4,4
54238fd6_probe00::328,54238fd6_probe00,328,3300.0,4,4,4
54238fd6_probe00::329,54238fd6_probe00,329,3300.0,4,4,4
54238fd6_probe00::330,54238fd6_probe00,330,3320.0,4,4,4
54238fd6_probe00::331,54238fd6_probe00,331,3320.0,4,4,4
54238fd6_probe00::332,54238fd6_probe00,332,3340.0,4,4,4
54238fd6_probe00::333,54238fd6_probe00,333,3340.0,4,4,4
54238fd6_probe00::334,54238fd6_probe00,334,3360.0,4,4,4
54238fd6_probe00::335,54238fd6_probe00,335,3360.0,4,4,4
54238fd6_probe00::336,54238fd6_probe00,336,3380.0,4,4,4
54238fd6_probe00::337,54238fd6_probe00,337,3380.0,4,4,4
54238fd6_probe00::338,54238fd6_probe00,338,3400.0,4,4,4
54238fd6_probe00::339,54238fd6_probe00,339,3400.0,4,4,4
54238fd6_probe00::340,54238fd6_probe00,340,3420.0,4,4,4
54238fd6_probe00::341,54238fd6_probe00,341,3420.0,4,4,4
54238fd6_probe00::342,54238fd6_probe00,342,3440.0,4,4,4
54238fd6_probe00::343,54238fd6_probe00,343,3440.0,4,4,4
54238fd6_probe00::344,54238fd6_probe00,344,3460.0,4,4,4
54238fd6_probe00::345,54238fd6_probe00,345,3460.0,4,4,4
54238fd6_probe00::346,54238fd6_probe00,346,3480.0,4,4,4
54238fd6_probe00::347,54238fd6_probe00,347,3480.0,4,4,4
54238fd6_probe00::348,54238fd6_probe00,348,3500.0,4,4,4
54238fd6_probe00::349,54238fd6_probe00,349,3500.0,4,4,4
54238fd6_probe00::350,54238fd6_probe00,350,3520.0,4,4,4
54238fd6_probe00::351,54238fd6_probe00,351,3520.0,4,4,4
54238fd6_probe00::352,54238fd6_probe00,352,3540.0,4,4,4
54238fd6_probe00::353,54238fd6_probe00,353,3540.0,4,4,4
54238fd6_probe00::354,54238fd6_probe00,354,3560.0,4,4,4
54238fd6_probe00::355,54238fd6_probe00,355,3560.0,4,4,4
54238fd6_probe00::356,54238fd6_probe00,356,3580.0,4,4,4
54238fd6_probe00::357,54238fd6_probe00,357,3580.0,4,4,4
54238fd6_probe00::358,54238fd6_probe00,358,3600.0,4,4,4
54238fd6_probe00::359,54238fd6_probe00,359,3600.0,4,4,4
54238fd6_probe00::360,54238fd6_probe00,360,3620.0,4,4,4
54238fd6_probe00::361,54238fd6_probe00,361,3620.0,4,4,4
54238fd6_probe00::362,54238fd6_probe00,362,3640.0,4,4,4
54238fd6_probe00::363,54238fd6_probe00,363,3640.0,4,4,4
54238fd6_probe00::364,54238fd6_probe00,364,3660.0,4,4,4
54238fd6_probe00::365,54238fd6_probe00,365,3660.0,4,4,4
54238fd6_probe00::366,54238fd6_probe00,366,3680.0,4,4,4
54238fd6_probe00::367,54238fd6_probe00,367,3680.0,4,4,4
54238fd6_probe00::368,54238fd6_probe00,368,3700.0,4,4,4
54238fd6_probe00::369,54238fd6_probe00,369,3700.0,4,4,4
54238fd6_probe00::370,54238fd6_probe00,370,3720.0,4,4,4
54238fd6_probe00::371,54238fd6_probe00,371,3720.0,4,4,4
54238fd6_probe00::372,54238fd6_probe00,372,3740.0,4,4,4
54238fd6_probe00::373,54238fd6_probe00,373,3740.0,4,4,4
54238fd6_probe00::374,54238fd6_probe00,374,3760.0,4,4,4
54238fd6_probe00::375,54238fd6_probe00,375,3760.0,4,4,4
54238fd6_probe00::376,54238fd6_probe00,376,3780.0,4,4,4
54238fd6_probe00::377,54238fd6_probe00,377,3780.0,4,4,4
54238fd6_probe00::378,54238fd6_probe00,378,3800.0,4,4,4
54238fd6_probe00::379,54238fd6_probe00,379,3800.0,4,4,4
54238fd6_probe00::380,54238fd6_probe00,380,3820.0,4,4,4
54238fd6_probe00::381,54238fd6_probe00,381,3820.0,4,4,4
54238fd6_probe00::382,54238fd6_probe00,382,3840.0,4,4,4
54238fd6_probe00::383,54238fd6_probe00,383,3840.0,4,4,4
